Technologie,Nettonennleistung (elektrische Wirkleistung) in MW,Cluster
Erdgas,34.4,0
Erdgas,34.4,0
Biomasse,34.0,0
Erdgas,34.0,0
Erdgas,34.0,0
Biomasse,33.6,0
Kohle,33.5,1
Erdgas,33.0,0
Erdgas,33.0,0
Kohle,32.9,1
Kohle,32.9,1
Biomasse,32.32,0
Erdgas,32.2,0
Biomasse,32.0,0
Biomasse,32.0,0
Erdgas,32.0,0
Erdgas,32.0,0
Erdgas,32.0,0
Erdgas,31.552,0
Erdgas,31.15,0
Erdgas,31.1,0
Kohle,31.0,1
Erdgas,31.0,0
Erdgas,31.0,0
Erdgas,30.7,0
Erdgas,30.64926,0
Erdgas,30.16,0
Biomasse,30.0,0
Biomasse,30.0,0
Biomasse,30.0,0
Erdgas,30.0,0
Erdgas,30.0,0
Erdgas,29.941,0
Biomasse,29.9,0
Erdgas,29.67,0
Erdgas,29.55,0
Erdgas,29.5,0
Erdgas,29.49,0
Erdgas,29.304,0
Biomasse,29.2,0
Erdgas,29.2,0
Erdgas,29.0,0
Biomasse,28.904,0
Erdgas,28.5,0
Biomasse,28.448,0
Erdgas,28.448,0
Erdgas,28.0,0
Erdgas,28.0,0
Erdgas,28.0,0
Biomasse,28.0,0
Kohle,28.0,1
Erdgas,27.93,0
Erdgas,27.6,0
Erdgas,27.6,0
Erdgas,27.5,0
Erdgas,27.47,0
Erdgas,27.2,0
Biomasse,27.2,0
Biomasse,27.2,0
Kohle,27.2,1
Kohle,27.2,1
Biomasse,27.0,0
Erdgas,27.0,0
Kohle,26.9,1
Erdgas,26.8,0
Erdgas,26.459,0
Biomasse,26.0,0
Erdgas,25.929,0
Erdgas,25.714,0
Erdgas,25.609,0
Biomasse,25.6,0
Erdgas,25.517,0
Erdgas,25.4,0
Erdgas,25.249,0
Erdgas,25.0,0
Biomasse,25.0,0
Erdgas,25.0,0
Erdgas,25.0,0
Erdgas,25.0,0
Erdgas,25.0,0
Erdgas,25.0,0
Biomasse,25.0,0
Erdgas,24.7,0
Erdgas,24.5,0
Erdgas,24.5,0
Biomasse,24.0,0
Erdgas,24.0,0
Biomasse,23.875,0
Erdgas,23.761,0
Erdgas,23.5,0
Biomasse,23.5,0
Erdgas,23.125,0
Erdgas,23.0,0
Erdgas,23.0,0
Erdgas,23.0,0
Erdgas,23.0,0
Kohle,23.0,1
Erdgas,22.86,0
Erdgas,22.7,0
Erdgas,22.61,0
Kohle,22.6,1
Erdgas,22.4,0
Erdgas,22.0,0
Biomasse,22.0,0
Erdgas,21.861,0
Erdgas,21.861,0
Erdgas,21.7,0
Biomasse,21.6497,0
Kohle,21.645,1
Biomasse,21.634,0
Erdgas,21.505,0
Erdgas,21.45,0
Erdgas,21.375,0
Biomasse,21.2,0
Biomasse,21.1,0
Erdgas,21.0,0
Erdgas,21.0,0
Erdgas,21.0,0
Erdgas,20.85,0
Erdgas,20.815,0
Biomasse,20.8,0
Biomasse,20.8,0
Biomasse,20.7139,0
Erdgas,20.7,0
Erdgas,20.543,0
Kohle,20.514,1
Erdgas,20.5,0
Erdgas,20.4,0
Kohle,20.365,1
Erdgas,20.0,0
Biomasse,20.0,0
Biomasse,20.0,0
Biomasse,20.0,0
Biomasse,20.0,0
Biomasse,20.0,0
Biomasse,20.0,0
Kohle,20.0,1
Erdgas,20.0,0
Biomasse,20.0,0
Biomasse,20.0,0
Erdgas,20.0,0
Biomasse,20.0,0
Erdgas,20.0,0
Erdgas,19.771,0
Biomasse,19.7,0
Kohle,19.5,1
Biomasse,19.5,0
Kohle,19.235,1
Erdgas,18.8,0
Biomasse,18.8,0
Biomasse,18.65,0
Biomasse,18.5,0
Biomasse,18.5,0
Biomasse,18.5,0
Kohle,18.5,1
Biomasse,18.472,0
Kohle,18.4,1
Erdgas,18.339,0
Biomasse,18.3,0
Biomasse,18.3,0
Biomasse,18.3,0
Biomasse,18.24,0
Biomasse,18.2,0
Biomasse,18.1,0
Erdgas,18.1,0
Erdgas,18.0,0
Erdgas,18.0,0
Biomasse,18.0,0
Biomasse,18.0,0
Biomasse,18.0,0
Biomasse,18.0,0
Biomasse,17.9,0
Erdgas,17.78,0
Erdgas,17.773,0
Biomasse,17.7,0
Erdgas,17.7,0
Erdgas,17.65,0
Kohle,17.572,1
Biomasse,17.523,0
Biomasse,17.5,0
Kohle,17.4,1
Erdgas,17.38,0
Erdgas,17.38,0
Kohle,17.235,1
Erdgas,17.21,0
Erdgas,17.2,0
Erdgas,17.13,0
Kohle,17.097,1
Erdgas,17.009,0
Biomasse,17.0,0
Biomasse,17.0,0
Kohle,16.958,1
Kohle,16.85,1
Erdgas,16.8,0
Biomasse,16.762,0
Onshore-Wind,16.5752,0
Erdgas,16.317,0
Erdgas,16.25143,0
Biomasse,16.245,0
Biomasse,16.245,0
Biomasse,16.0,0
Biomasse,16.0,0
Kohle,16.0,1
Erdgas,16.0,0
Kohle,15.94,1
Biomasse,15.8,0
Erdgas,15.8,0
Kohle,15.75,1
Biomasse,15.7,0
Biomasse,15.7,0
Kohle,15.638,1
Erdgas,15.596,0
Erdgas,15.5,0
Erdgas,15.36,0
Erdgas,15.36,0
Erdgas,15.29,0
Kohle,15.2,1
Biomasse,15.13,0
Erdgas,15.05,0
Erdgas,15.0,0
Kohle,15.0,1
Biomasse,15.0,0
Erdgas,15.0,0
Biomasse,15.0,0
Kohle,14.9,1
Erdgas,14.885,0
Erdgas,14.885,0
Biomasse,14.88,0
Biomasse,14.88,0
Biomasse,14.7,0
Erdgas,14.5,0
Biomasse,14.5,0
Erdgas,14.468,0
Biomasse,14.44,0
Erdgas,14.4,0
Erdgas,14.383,0
Kohle,14.2,1
Erdgas,14.18,0
Kohle,14.105,1
Erdgas,14.05,0
Erdgas,14.05,0
Biomasse,14.0,0
Erdgas,14.0,0
Erdgas,14.0,0
Erdgas,14.0,0
Erdgas,13.907,0
Biomasse,13.8597,0
Biomasse,13.85,0
Erdgas,13.84,0
Erdgas,13.8,0
Erdgas,13.76,0
Erdgas,13.6,0
Erdgas,13.52,0
Erdgas,13.5,0
Erdgas,13.49,0
Biomasse,13.3,0
Erdgas,13.3,0
