Tag,Strombedarf
2016-03-04,34721.85
2016-03-05,29604.05
2016-03-06,27440.67
2016-03-07,34068.27
2016-03-08,35114.24
2016-03-09,34951.48
2016-03-10,34666.36
2016-03-11,34159.2
2016-03-12,29496.32
2016-03-13,26942.16
2016-03-14,33459.22
2016-03-15,34873.42
2016-03-16,34797.49
2016-03-17,34083.0
2016-03-18,33933.78
2016-03-19,29316.1
2016-03-20,27102.28
2016-03-21,33736.6
2016-03-22,34229.36
2016-03-23,34063.65
2016-03-24,33429.2
2016-03-25,27071.91
2016-03-26,26572.84
2016-03-27,23578.25
2016-03-28,25382.91
2016-03-29,32206.51
2016-03-30,33320.52
2016-03-31,33084.31
2016-04-01,32850.0
2016-04-02,27675.39
2016-04-03,25031.45
2016-04-04,31530.1
2016-04-05,32579.05
2016-04-06,33260.18
2016-04-07,33207.0
2016-04-08,32368.93
2016-04-09,27277.25
2016-04-10,24828.4
2016-04-11,31730.48
2016-04-12,32308.13
2016-04-13,32792.28
2016-04-14,32746.04
2016-04-15,32346.78
2016-04-16,27636.86
2016-04-17,25023.37
2016-04-18,31793.47
2016-04-19,32509.49
2016-04-20,32157.66
2016-04-21,31950.62
2016-04-22,31579.53
2016-04-23,27389.31
2016-04-24,25213.26
2016-04-25,32585.32
2016-04-26,33423.96
2016-04-27,33890.66
2016-04-28,33227.71
2016-04-29,32351.07
2016-04-30,26975.61
2016-05-01,24076.11
2016-05-02,31166.55
2016-05-03,32725.95
2016-05-04,32171.48
2016-05-05,25496.56
2016-05-06,28482.09
2016-05-07,26317.74
2016-05-08,24356.64
2016-05-09,31655.38
2016-05-10,32295.92
2016-05-11,32401.71
2016-05-12,32866.07
2016-05-13,31784.65
2016-05-14,26942.72
2016-05-15,23923.67
2016-05-16,24368.08
2016-05-17,31248.72
2016-05-18,32232.52
2016-05-19,32497.83
2016-05-20,32187.99
2016-05-21,26930.5
2016-05-22,24733.9
2016-05-23,31719.67
2016-05-24,32616.04
2016-05-25,32050.84
2016-05-26,27659.84
2016-05-27,29678.14
2016-05-28,26779.2
2016-05-29,24856.4
2016-05-30,31760.75
2016-05-31,32533.19
2016-06-01,32219.6
2016-06-02,32060.45
2016-06-03,31420.27
2016-06-04,26561.19
2016-06-05,24227.81
2016-06-06,31007.29
2016-06-07,31724.18
2016-06-08,31808.52
2016-06-09,31592.62
2016-06-10,30978.3
2016-06-11,26247.84
2016-06-12,24351.56
2016-06-13,31088.72
2016-06-14,31735.75
2016-06-15,31588.01
2016-06-16,31770.62
2016-06-17,31623.38
2016-06-18,26703.37
2016-06-19,24274.19
2016-06-20,30936.31
2016-06-21,31335.44
2016-06-22,31588.48
2016-06-23,32085.31
2016-06-24,31961.05
2016-06-25,27211.6
2016-06-26,24344.3
2016-06-27,31455.67
2016-06-28,31950.08
2016-06-29,32439.73
2016-06-30,32162.08
2016-07-01,31573.44
2016-07-02,27018.39
2016-07-03,24180.78
2016-07-04,31039.9
2016-07-05,32572.34
2016-07-06,32374.25
2016-07-07,31743.52
2016-07-08,31893.95
2016-07-09,26985.57
2016-07-10,24726.59
2016-07-11,31836.0
2016-07-12,32156.46
2016-07-13,31645.89
2016-07-14,31963.63
2016-07-15,31345.94
2016-07-16,26506.72
2016-07-17,24341.46
2016-07-18,30952.09
2016-07-19,31738.76
2016-07-20,32268.89
2016-07-21,32169.16
2016-07-22,31432.97
2016-07-23,26650.78
2016-07-24,24265.04
2016-07-25,31096.85
2016-07-26,31654.51
2016-07-27,31565.3
2016-07-28,31274.86
2016-07-29,30656.03
