ID Nummer,Schicht,Datum,Anwesend
ID75458,Nachmittagsschicht,22.10.2015,1
ID75458,Nachmittagsschicht,26.10.2015,1
ID75458,Nachmittagsschicht,28.10.2015,1
ID75458,Nachmittagsschicht,30.10.2015,1
ID75458,Nachmittagsschicht,01.11.2015,1
ID75458,Nachmittagsschicht,02.11.2015,1
ID75458,Nachmittagsschicht,03.11.2015,1
ID75458,Nachmittagsschicht,05.11.2015,1
ID75458,Nachmittagsschicht,11.11.2015,1
ID75458,Nachmittagsschicht,17.11.2015,1
ID75458,Nachmittagsschicht,18.11.2015,1
ID75458,Nachmittagsschicht,20.11.2015,1
ID75458,Nachmittagsschicht,26.11.2015,1
ID75458,Nachmittagsschicht,02.12.2015,1
ID75458,Nachmittagsschicht,08.12.2015,1
ID14553,Morgenschicht,09.03.2015,1
ID14553,Morgenschicht,10.03.2015,1
ID14553,Morgenschicht,11.03.2015,1
ID14553,Morgenschicht,13.03.2015,1
ID14553,Morgenschicht,18.03.2015,1
ID14553,Morgenschicht,19.03.2015,1
ID14553,Morgenschicht,20.03.2015,1
ID14553,Morgenschicht,24.03.2015,1
ID14553,Morgenschicht,25.03.2015,1
ID14553,Morgenschicht,26.03.2015,1
ID14553,Morgenschicht,27.03.2015,1
ID14553,Morgenschicht,30.03.2015,1
ID14553,Morgenschicht,31.03.2015,1
ID14553,Morgenschicht,01.04.2015,1
ID14553,Morgenschicht,04.04.2015,1
ID14553,Morgenschicht,06.04.2015,1
ID14553,Morgenschicht,07.04.2015,1
ID14553,Morgenschicht,08.04.2015,1
ID14553,Morgenschicht,14.04.2015,1
ID14553,Morgenschicht,16.04.2015,1
ID14553,Morgenschicht,20.04.2015,1
ID14553,Morgenschicht,25.04.2015,1
ID14553,Morgenschicht,29.04.2015,1
ID14553,Morgenschicht,08.05.2015,1
ID14553,Morgenschicht,11.05.2015,1
ID14553,Morgenschicht,12.05.2015,1
ID14553,Morgenschicht,16.05.2015,1
ID14553,Morgenschicht,25.05.2015,1
ID14553,Morgenschicht,30.05.2015,1
ID14553,Morgenschicht,11.06.2015,1
ID14553,Morgenschicht,12.06.2015,1
ID14553,Morgenschicht,13.06.2015,1
ID14553,Morgenschicht,15.06.2015,1
ID14553,Morgenschicht,17.06.2015,1
ID14553,Morgenschicht,19.06.2015,1
ID14553,Morgenschicht,20.06.2015,1
ID14553,Morgenschicht,23.06.2015,1
ID14553,Morgenschicht,24.06.2015,1
ID14553,Morgenschicht,25.06.2015,1
ID14553,Morgenschicht,27.06.2015,1
ID14553,Morgenschicht,09.07.2015,1
ID14553,Morgenschicht,10.07.2015,1
ID14553,Morgenschicht,14.07.2015,1
ID14553,Morgenschicht,17.07.2015,1
ID14553,Morgenschicht,28.07.2015,1
ID14553,Morgenschicht,31.07.2015,1
ID14553,Morgenschicht,10.08.2015,1
ID14553,Morgenschicht,14.08.2015,1
ID14553,Morgenschicht,29.08.2015,1
ID14553,Morgenschicht,05.09.2015,1
ID14553,Morgenschicht,08.09.2015,1
ID14553,Morgenschicht,14.09.2015,1
ID14553,Morgenschicht,16.09.2015,1
ID14553,Morgenschicht,29.09.2015,1
ID14553,Morgenschicht,08.10.2015,1
ID14553,Morgenschicht,01.11.2015,1
ID14553,Morgenschicht,10.11.2015,1
ID14553,Morgenschicht,12.11.2015,1
ID14553,Morgenschicht,13.11.2015,1
ID14553,Morgenschicht,23.11.2015,1
ID14553,Morgenschicht,24.12.2015,1
ID14553,Morgenschicht,07.01.2016,1
ID14553,Morgenschicht,08.01.2016,1
ID14553,Morgenschicht,12.01.2016,1
ID14553,Morgenschicht,18.01.2016,1
ID14553,Morgenschicht,23.01.2016,1
ID14553,Morgenschicht,08.02.2016,1
ID14553,Morgenschicht,07.03.2016,1
ID14553,Morgenschicht,26.03.2016,1
ID14553,Morgenschicht,20.04.2016,1
ID14553,Morgenschicht,23.04.2016,1
ID14553,Morgenschicht,29.04.2016,1
ID14553,Morgenschicht,30.04.2016,1
ID14553,Nachmittagsschicht,12.03.2015,1
ID14553,Nachmittagsschicht,14.03.2015,1
ID14553,Nachmittagsschicht,16.03.2015,1
ID14553,Nachmittagsschicht,17.03.2015,1
ID14553,Nachmittagsschicht,21.03.2015,1
ID14553,Nachmittagsschicht,23.03.2015,1
ID14553,Nachmittagsschicht,28.03.2015,1
ID14553,Nachmittagsschicht,02.04.2015,1
ID14553,Nachmittagsschicht,03.04.2015,1
ID14553,Nachmittagsschicht,09.04.2015,1
ID14553,Nachmittagsschicht,10.04.2015,1
ID14553,Nachmittagsschicht,11.04.2015,1
ID14553,Nachmittagsschicht,17.04.2015,1
ID14553,Nachmittagsschicht,21.04.2015,1
ID14553,Nachmittagsschicht,27.04.2015,1
ID14553,Nachmittagsschicht,28.04.2015,1
ID14553,Nachmittagsschicht,04.05.2015,1
ID14553,Nachmittagsschicht,07.05.2015,1
ID14553,Nachmittagsschicht,09.05.2015,1
ID14553,Nachmittagsschicht,13.05.2015,1
ID14553,Nachmittagsschicht,14.05.2015,1
ID14553,Nachmittagsschicht,15.05.2015,1
ID14553,Nachmittagsschicht,23.05.2015,1
ID14553,Nachmittagsschicht,26.05.2015,1
ID14553,Nachmittagsschicht,27.05.2015,1
ID14553,Nachmittagsschicht,29.05.2015,1
ID14553,Nachmittagsschicht,04.06.2015,1
ID14553,Nachmittagsschicht,05.06.2015,1
ID14553,Nachmittagsschicht,08.06.2015,1
ID14553,Nachmittagsschicht,09.06.2015,1
ID14553,Nachmittagsschicht,16.06.2015,1
ID14553,Nachmittagsschicht,22.06.2015,1
ID14553,Nachmittagsschicht,29.06.2015,1
ID14553,Nachmittagsschicht,30.06.2015,1
ID14553,Nachmittagsschicht,13.07.2015,1
ID14553,Nachmittagsschicht,07.08.2015,1
ID14553,Nachmittagsschicht,20.08.2015,1
ID14553,Nachmittagsschicht,22.08.2015,1
ID14553,Nachmittagsschicht,03.09.2015,1
ID14553,Nachmittagsschicht,07.09.2015,1
ID14553,Nachmittagsschicht,19.09.2015,1
ID14553,Nachmittagsschicht,23.09.2015,1
ID14553,Nachmittagsschicht,28.09.2015,1
ID14553,Nachmittagsschicht,06.10.2015,1
ID14553,Nachmittagsschicht,10.10.2015,1
ID14553,Nachmittagsschicht,12.10.2015,1
ID14553,Nachmittagsschicht,17.10.2015,1
ID14553,Nachmittagsschicht,20.10.2015,1
ID14553,Nachmittagsschicht,26.10.2015,1
ID14553,Nachmittagsschicht,27.10.2015,1
ID14553,Nachmittagsschicht,04.11.2015,1
ID14553,Nachmittagsschicht,25.11.2015,1
ID14553,Nachmittagsschicht,02.12.2015,1
ID14553,Nachmittagsschicht,05.12.2015,1
ID14553,Nachmittagsschicht,08.12.2015,1
ID14553,Nachmittagsschicht,26.12.2015,1
ID14553,Nachmittagsschicht,28.12.2015,1
ID14553,Nachmittagsschicht,30.12.2015,1
ID14553,Nachmittagsschicht,26.01.2016,1
ID14553,Nachmittagsschicht,03.02.2016,1
ID14553,Nachmittagsschicht,12.02.2016,1
ID14553,Nachmittagsschicht,13.02.2016,1
ID14553,Nachmittagsschicht,18.02.2016,1
ID14553,Nachmittagsschicht,26.02.2016,1
ID14553,Nachmittagsschicht,09.03.2016,1
ID14553,Nachmittagsschicht,09.04.2016,1
ID14553,Nachmittagsschicht,15.04.2016,1
ID14553,Nachmittagsschicht,28.04.2016,1
ID14553,Nachmittagsschicht,04.05.2016,1
ID14553,Nachmittagsschicht,18.05.2016,1
ID14553,Nachmittagsschicht,19.05.2016,1
ID14553,Nachmittagsschicht,04.06.2016,1
ID14553,Nachmittagsschicht,14.06.2016,1
ID14553,Nachmittagsschicht,28.06.2016,1
ID14553,Nachmittagsschicht,29.06.2016,1
ID77341,Morgenschicht,26.03.2015,1
ID77341,Morgenschicht,27.03.2015,1
ID77341,Morgenschicht,28.03.2015,1
ID77341,Morgenschicht,30.03.2015,1
ID77341,Morgenschicht,31.03.2015,1
ID77341,Morgenschicht,01.04.2015,1
ID77341,Morgenschicht,02.04.2015,1
ID77341,Morgenschicht,03.04.2015,1
ID77341,Morgenschicht,04.04.2015,1
ID77341,Morgenschicht,06.04.2015,1
ID77341,Morgenschicht,07.04.2015,1
ID77341,Morgenschicht,08.04.2015,1
ID77341,Morgenschicht,09.04.2015,1
ID77341,Morgenschicht,10.04.2015,1
ID77341,Morgenschicht,11.04.2015,1
ID77341,Morgenschicht,13.04.2015,1
ID77341,Morgenschicht,14.04.2015,1
ID77341,Morgenschicht,15.04.2015,1
ID77341,Morgenschicht,16.04.2015,1
ID77341,Morgenschicht,17.04.2015,1
ID77341,Morgenschicht,18.04.2015,1
ID77341,Morgenschicht,20.04.2015,1
ID77341,Morgenschicht,21.04.2015,1
ID77341,Morgenschicht,22.04.2015,1
ID77341,Morgenschicht,23.04.2015,1
ID77341,Morgenschicht,24.04.2015,1
ID78619,Nachmittagsschicht,29.01.2015,1
ID78619,Nachmittagsschicht,28.03.2015,1
ID78619,Nachmittagsschicht,30.03.2015,1
ID78619,Nachmittagsschicht,31.03.2015,1
ID78619,Nachmittagsschicht,01.04.2015,1
ID78619,Nachmittagsschicht,02.04.2015,1
ID78619,Nachmittagsschicht,03.04.2015,1
ID78619,Nachmittagsschicht,04.04.2015,1
ID78619,Nachmittagsschicht,06.04.2015,1
ID78619,Nachmittagsschicht,07.04.2015,1
ID78619,Nachmittagsschicht,08.04.2015,1
ID78619,Nachmittagsschicht,09.04.2015,1
ID78619,Nachmittagsschicht,10.04.2015,1
ID78619,Nachmittagsschicht,11.04.2015,1
ID78619,Nachmittagsschicht,13.04.2015,1
ID78619,Nachmittagsschicht,14.04.2015,1
ID78619,Nachmittagsschicht,15.04.2015,1
ID78619,Nachmittagsschicht,16.04.2015,1
ID78619,Nachmittagsschicht,17.04.2015,1
ID78619,Nachmittagsschicht,18.04.2015,1
ID78619,Nachmittagsschicht,20.04.2015,1
ID78619,Nachmittagsschicht,21.04.2015,1
ID78619,Nachmittagsschicht,22.04.2015,1
ID78619,Nachmittagsschicht,23.04.2015,1
ID78619,Nachmittagsschicht,24.04.2015,1
ID78619,Nachmittagsschicht,25.04.2015,1
ID78619,Nachmittagsschicht,27.04.2015,1
ID78619,Nachmittagsschicht,28.04.2015,1
ID78619,Nachmittagsschicht,29.04.2015,1
ID78619,Nachmittagsschicht,30.04.2015,1
ID78619,Nachmittagsschicht,01.05.2015,1
ID78619,Nachmittagsschicht,02.05.2015,1
ID78619,Nachmittagsschicht,04.05.2015,1
ID78619,Nachmittagsschicht,05.05.2015,1
ID78619,Nachmittagsschicht,06.05.2015,1
ID78619,Nachmittagsschicht,07.05.2015,1
ID78619,Nachmittagsschicht,08.05.2015,1
ID78619,Nachmittagsschicht,09.05.2015,1
ID78619,Nachmittagsschicht,11.05.2015,1
ID78619,Nachmittagsschicht,12.05.2015,1
ID78619,Nachmittagsschicht,13.05.2015,1
ID78619,Nachmittagsschicht,14.05.2015,1
ID78619,Nachmittagsschicht,15.05.2015,1
ID78619,Nachmittagsschicht,16.05.2015,1
ID78619,Nachmittagsschicht,18.05.2015,1
ID78619,Nachmittagsschicht,19.05.2015,1
ID78619,Nachmittagsschicht,20.05.2015,1
ID78619,Nachmittagsschicht,21.05.2015,1
ID78619,Nachmittagsschicht,22.05.2015,1
ID78619,Nachmittagsschicht,23.05.2015,1
ID78619,Nachmittagsschicht,25.05.2015,1
ID78619,Nachmittagsschicht,26.05.2015,1
ID78619,Nachmittagsschicht,27.05.2015,1
ID78619,Nachmittagsschicht,28.05.2015,1
ID78619,Nachmittagsschicht,29.05.2015,1
ID78619,Nachmittagsschicht,30.05.2015,1
ID78619,Nachmittagsschicht,01.06.2015,1
ID78619,Nachmittagsschicht,02.06.2015,1
ID78619,Nachmittagsschicht,03.06.2015,1
ID78619,Nachmittagsschicht,04.06.2015,1
ID65353,Morgenschicht,14.02.2015,1
ID65353,Morgenschicht,09.04.2015,1
ID65353,Morgenschicht,10.04.2015,1
ID65353,Morgenschicht,11.04.2015,1
ID65353,Morgenschicht,13.04.2015,1
ID65353,Morgenschicht,18.04.2015,1
ID65353,Morgenschicht,22.04.2015,1
ID65353,Morgenschicht,24.04.2015,1
ID65353,Morgenschicht,27.04.2015,1
ID65353,Morgenschicht,28.04.2015,1
ID65353,Morgenschicht,30.04.2015,1
ID65353,Morgenschicht,01.05.2015,1
ID65353,Morgenschicht,09.05.2015,1
ID65353,Morgenschicht,14.05.2015,1
ID65353,Morgenschicht,15.05.2015,1
ID65353,Morgenschicht,20.05.2015,1
ID65353,Morgenschicht,21.05.2015,1
ID65353,Morgenschicht,22.05.2015,1
ID65353,Morgenschicht,27.05.2015,1
ID65353,Morgenschicht,28.05.2015,1
ID65353,Morgenschicht,29.05.2015,1
ID65353,Morgenschicht,03.06.2015,1
ID65353,Morgenschicht,08.06.2015,1
ID65353,Morgenschicht,09.06.2015,1
ID65353,Morgenschicht,10.06.2015,1
ID65353,Morgenschicht,29.06.2015,1
ID65353,Morgenschicht,30.06.2015,1
ID65353,Morgenschicht,02.07.2015,1
ID65353,Morgenschicht,07.07.2015,1
ID65353,Morgenschicht,08.07.2015,1
ID65353,Morgenschicht,11.07.2015,1
ID65353,Morgenschicht,13.07.2015,1
ID65353,Morgenschicht,15.07.2015,1
ID65353,Morgenschicht,16.07.2015,1
ID65353,Morgenschicht,24.07.2015,1
ID65353,Morgenschicht,06.08.2015,1
ID65353,Morgenschicht,08.08.2015,1
ID65353,Morgenschicht,11.08.2015,1
ID65353,Morgenschicht,13.08.2015,1
ID65353,Morgenschicht,24.08.2015,1
ID65353,Morgenschicht,26.08.2015,1
ID65353,Nachmittagsschicht,08.04.2015,1
ID65353,Nachmittagsschicht,15.04.2015,1
ID65353,Nachmittagsschicht,16.04.2015,1
ID65353,Nachmittagsschicht,23.04.2015,1
ID65353,Nachmittagsschicht,25.04.2015,1
ID65353,Nachmittagsschicht,29.04.2015,1
ID65353,Nachmittagsschicht,02.05.2015,1
ID65353,Nachmittagsschicht,05.05.2015,1
ID65353,Nachmittagsschicht,06.05.2015,1
ID65353,Nachmittagsschicht,12.05.2015,1
ID65353,Nachmittagsschicht,16.05.2015,1
ID65353,Nachmittagsschicht,18.05.2015,1
ID65353,Nachmittagsschicht,19.05.2015,1
ID65353,Nachmittagsschicht,30.05.2015,1
ID65353,Nachmittagsschicht,01.06.2015,1
ID65353,Nachmittagsschicht,02.06.2015,1
ID65353,Nachmittagsschicht,19.06.2015,1
ID65353,Nachmittagsschicht,24.06.2015,1
ID65353,Nachmittagsschicht,26.06.2015,1
ID65353,Nachmittagsschicht,27.06.2015,1
ID65353,Nachmittagsschicht,14.07.2015,1
ID65353,Nachmittagsschicht,25.07.2015,1
ID65353,Nachmittagsschicht,30.07.2015,1
ID65353,Nachmittagsschicht,31.07.2015,1
ID65353,Nachmittagsschicht,12.08.2015,1
ID89038,Morgenschicht,15.04.2015,1
ID89038,Morgenschicht,17.04.2015,1
ID89038,Morgenschicht,21.04.2015,1
ID89038,Morgenschicht,23.04.2015,1
ID89038,Morgenschicht,02.05.2015,1
ID89038,Morgenschicht,04.05.2015,1
ID89038,Morgenschicht,05.05.2015,1
ID89038,Morgenschicht,06.05.2015,1
ID89038,Morgenschicht,07.05.2015,1
ID89038,Morgenschicht,13.05.2015,1
ID89038,Morgenschicht,18.05.2015,1
ID89038,Morgenschicht,19.05.2015,1
ID89038,Morgenschicht,23.05.2015,1
ID89038,Morgenschicht,26.05.2015,1
ID89038,Morgenschicht,01.06.2015,1
ID89038,Morgenschicht,02.06.2015,1
ID89038,Morgenschicht,04.06.2015,1
ID89038,Morgenschicht,05.06.2015,1
ID89038,Morgenschicht,06.06.2015,1
ID89038,Morgenschicht,16.06.2015,1
ID89038,Morgenschicht,18.06.2015,1
ID89038,Morgenschicht,22.06.2015,1
ID89038,Morgenschicht,26.06.2015,1
ID89038,Morgenschicht,01.07.2015,1
ID89038,Morgenschicht,03.07.2015,1
ID89038,Morgenschicht,04.07.2015,1
ID89038,Morgenschicht,06.07.2015,1
ID89038,Morgenschicht,20.07.2015,1
ID89038,Morgenschicht,22.07.2015,1
ID89038,Morgenschicht,27.07.2015,1
ID89038,Morgenschicht,01.08.2015,1
ID89038,Morgenschicht,03.08.2015,1
ID89038,Morgenschicht,07.08.2015,1
ID89038,Morgenschicht,17.08.2015,1
ID89038,Morgenschicht,18.08.2015,1
ID89038,Morgenschicht,19.08.2015,1
ID89038,Morgenschicht,25.08.2015,1
ID89038,Morgenschicht,27.08.2015,1
ID89038,Morgenschicht,01.09.2015,1
ID89038,Morgenschicht,02.09.2015,1
ID89038,Morgenschicht,03.09.2015,1
ID89038,Morgenschicht,04.09.2015,1
ID89038,Morgenschicht,07.09.2015,1
ID89038,Morgenschicht,15.09.2015,1
ID89038,Morgenschicht,21.09.2015,1
ID89038,Morgenschicht,22.09.2015,1
ID89038,Morgenschicht,23.09.2015,1
ID89038,Morgenschicht,24.09.2015,1
ID89038,Morgenschicht,03.10.2015,1
ID89038,Morgenschicht,13.10.2015,1
ID89038,Morgenschicht,15.10.2015,1
ID89038,Nachmittagsschicht,23.01.2015,1
ID89038,Nachmittagsschicht,13.04.2015,1
ID89038,Nachmittagsschicht,14.04.2015,1
ID89038,Nachmittagsschicht,18.04.2015,1
ID89038,Nachmittagsschicht,20.04.2015,1
ID89038,Nachmittagsschicht,22.04.2015,1
ID89038,Nachmittagsschicht,24.04.2015,1
